# theta[arcmin]  xi(theta)  sigma(xi(theta))
2.805046135754908576e+00 4.513943780642580172e+00 1.500000000000000000e+00
3.531343861556885955e+00 3.825824921475976303e+00 1.500000000000000000e+00
4.445698525097307119e+00 8.495666569940365065e+00 1.500000000000000000e+00
5.596802846420849242e+00 5.063101283652409634e+00 1.500000000000000000e+00
7.045957328161134292e+00 6.269585871023639179e+00 1.500000000000000000e+00
8.870334730839386950e+00 9.223836326175964828e+00 1.500000000000000000e+00
1.116708980377408089e+01 6.322106444754705734e+00 1.500000000000000000e+00
1.405853312975873060e+01 7.736328420427810215e+00 1.500000000000000000e+00
1.769864460960345198e+01 9.957448967675297524e+00 1.500000000000000000e+00
2.228127345334363696e+01 1.036189514061907779e+01 1.500000000000000000e+00
2.805046135754908221e+01 1.039227092090611038e+01 1.500000000000000000e+00
3.531343861556885599e+01 1.336046084964432978e+01 1.500000000000000000e+00
4.445698525097307652e+01 1.479725304937636210e+01 1.500000000000000000e+00
5.596802846420850841e+01 1.811191744900022726e+01 1.500000000000000000e+00
7.045957328161135536e+01 1.680906341420190131e+01 1.500000000000000000e+00
8.870334730839384463e+01 2.061169597259777220e+01 1.500000000000000000e+00
1.116708980377407840e+02 2.603221047235219388e+01 1.500000000000000000e+00
1.405853312975873166e+02 3.005679412595600297e+01 1.500000000000000000e+00
1.769864460960345696e+02 2.833156885115376866e+01 1.500000000000000000e+00
2.228127345334364406e+02 3.529917138389570397e+01 1.500000000000000000e+00
